[INFO ] [2016-03-14 15:23:03, 009] main.MainActivity - scan button click
[INFO ] [2016-03-14 15:23:08, 180] core.FileScanner  - D:\office is directory
[INFO ] [2016-03-14 15:23:08, 181] main.MainActivity - logger : D:\office
[INFO ] [2016-03-14 15:23:13, 063] main.MainActivity - scan button click
[INFO ] [2016-03-14 15:23:13, 064] core.FileScanner  - D:\office is directory
[INFO ] [2016-03-14 15:23:13, 065] main.MainActivity - logger : D:\office
[INFO ] [2016-03-14 15:23:13, 066] core.FileScanner  - directory scan >> D:\office\Access.ko-kr
[INFO ] [2016-03-14 15:23:13, 067] core.FileScanner  - directory scan >> D:\office\Admin
[INFO ] [2016-03-14 15:23:13, 068] core.FileScanner  - directory scan >> D:\office\Admin\de-de
[INFO ] [2016-03-14 15:23:13, 070] core.FileScanner  - directory scan >> D:\office\Admin\en-us
[INFO ] [2016-03-14 15:23:13, 072] core.FileScanner  - directory scan >> D:\office\Admin\es-es
[INFO ] [2016-03-14 15:23:13, 074] core.FileScanner  - directory scan >> D:\office\Admin\fr-fr
[INFO ] [2016-03-14 15:23:13, 075] core.FileScanner  - directory scan >> D:\office\Admin\it-it
[INFO ] [2016-03-14 15:23:13, 076] core.FileScanner  - directory scan >> D:\office\Admin\ja-jp
[INFO ] [2016-03-14 15:23:13, 077] core.FileScanner  - directory scan >> D:\office\Admin\ko-kr
[INFO ] [2016-03-14 15:23:13, 078] core.FileScanner  - directory scan >> D:\office\Admin\zh-cn
[INFO ] [2016-03-14 15:23:13, 081] core.FileScanner  - directory scan >> D:\office\Admin\zh-tw
[INFO ] [2016-03-14 15:23:13, 082] core.FileScanner  - directory scan >> D:\office\Catalog
[INFO ] [2016-03-14 15:23:13, 083] core.FileScanner  - directory scan >> D:\office\Excel.ko-kr
[INFO ] [2016-03-14 15:23:13, 084] core.FileScanner  - directory scan >> D:\office\InfoPath.ko-kr
[INFO ] [2016-03-14 15:23:13, 084] core.FileScanner  - key.txtis txt file
[INFO ] [2016-03-14 15:23:13, 084] core.FileScanner  - directory scan >> D:\office\Office.ko-kr
[INFO ] [2016-03-14 15:23:13, 085] core.FileScanner  - directory scan >> D:\office\Office.ko-kr\1042
[INFO ] [2016-03-14 15:23:13, 086] core.FileScanner  - directory scan >> D:\office\Office64.ko-kr
[INFO ] [2016-03-14 15:23:13, 086] core.FileScanner  - directory scan >> D:\office\Outlook.ko-kr
